"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Large Fringe Metro"	"2"	"Nov., 2007"	"2007/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2181	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2007"	"2007/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2530	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2008"	"2008/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2955	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2008"	"2008/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3199	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2008"	"2008/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3278	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2008"	"2008/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2729	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2008"	"2008/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2474	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2008"	"2008/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2233	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2008"	"2008/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2153	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2008"	"2008/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2069	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2008"	"2008/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2051	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2008"	"2008/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2302	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2008"	"2008/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2263	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2008"	"2008/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2679	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2877	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2709	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2865	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2661	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2565	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2304	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2267	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2170	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2126	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2424	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2402	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2550	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2010"	"2010/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2896	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2010"	"2010/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2625	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2010"	"2010/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2930	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2010"	"2010/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2608	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2010"	"2010/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2480	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2010"	"2010/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2278	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2010"	"2010/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2284	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2010"	"2010/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2228	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2010"	"2010/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2142	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2010"	"2010/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2336	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2010"	"2010/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2414	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2010"	"2010/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2743	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2011"	"2011/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3066	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2011"	"2011/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2921	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2011"	"2011/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3084	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2011"	"2011/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2701	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2011"	"2011/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2807	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2011"	"2011/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2488	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2011"	"2011/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2352	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2011"	"2011/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2230	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2011"	"2011/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2147	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2011"	"2011/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2375	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2011"	"2011/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2436	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2011"	"2011/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2591	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2012"	"2012/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2981	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2012"	"2012/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2751	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2012"	"2012/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2915	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2012"	"2012/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2664	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2012"	"2012/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2558	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2012"	"2012/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2341	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2012"	"2012/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2349	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2012"	"2012/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2330	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2012"	"2012/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2333	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2012"	"2012/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2405	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2012"	"2012/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2539	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2012"	"2012/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3148	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2013"	"2013/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3836	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2013"	"2013/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3017	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2013"	"2013/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3107	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2013"	"2013/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2805	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2013"	"2013/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2665	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2013"	"2013/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2423	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2013"	"2013/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2313	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2013"	"2013/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2257	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2013"	"2013/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2207	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2013"	"2013/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2364	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2013"	"2013/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2440	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2013"	"2013/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2804	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2014"	"2014/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3405	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2014"	"2014/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2768	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2014"	"2014/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2929	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2014"	"2014/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2732	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2014"	"2014/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2649	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2014"	"2014/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2444	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2014"	"2014/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2440	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2014"	"2014/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2420	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2014"	"2014/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2185	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2014"	"2014/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2511	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2014"	"2014/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2537	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2014"	"2014/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3089	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2015"	"2015/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3674	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2015"	"2015/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3122	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2015"	"2015/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3309	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2015"	"2015/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3082	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2015"	"2015/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2946	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2015"	"2015/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2551	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2015"	"2015/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2484	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2015"	"2015/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2309	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2015"	"2015/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2328	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2015"	"2015/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2499	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2015"	"2015/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2543	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2015"	"2015/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2847	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2016"	"2016/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3038	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2016"	"2016/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3015	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2016"	"2016/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3407	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2016"	"2016/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2974	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2016"	"2016/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2778	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2016"	"2016/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2547	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2016"	"2016/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2572	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2016"	"2016/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2558	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2016"	"2016/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2402	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2016"	"2016/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2555	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2016"	"2016/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2558	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2016"	"2016/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3156	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2017"	"2017/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3712	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2017"	"2017/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3290	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2017"	"2017/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3454	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2017"	"2017/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3139	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2017"	"2017/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2883	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2017"	"2017/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2632	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2017"	"2017/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2590	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2017"	"2017/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2517	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2017"	"2017/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2499	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2017"	"2017/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2623	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2017"	"2017/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2598	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2017"	"2017/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3192	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3992	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2018"	"2018/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3122	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2018"	"2018/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3263	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3045	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2018"	"2018/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2838	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2018"	"2018/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2711	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2018"	"2018/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2552	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2018"	"2018/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2495	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2018"	"2018/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2400	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2018"	"2018/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2625	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2018"	"2018/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2659	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2018"	"2018/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3037	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jan., 2019"	"2019/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3428	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Feb., 2019"	"2019/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2983	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Mar., 2019"	"2019/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3339	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Apr., 2019"	"2019/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3021	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"May, 2019"	"2019/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3038	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jun., 2019"	"2019/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2736	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Jul., 2019"	"2019/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2638	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Aug., 2019"	"2019/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2500	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Sep., 2019"	"2019/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2491	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Oct., 2019"	"2019/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2557	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Nov., 2019"	"2019/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2644	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Dec., 2019"	"2019/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3105	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jan., 1999"	"1999/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2763	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Feb., 1999"	"1999/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2805	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Mar., 1999"	"1999/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2922	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Apr., 1999"	"1999/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2321	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"May, 1999"	"1999/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2092	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jun., 1999"	"1999/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1872	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jul., 1999"	"1999/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1780	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Aug., 1999"	"1999/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1709	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Sep., 1999"	"1999/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1669	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Oct., 1999"	"1999/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1983	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Nov., 1999"	"1999/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1977	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Dec., 1999"	"1999/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2650	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jan., 2000"	"2000/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3498	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Feb., 2000"	"2000/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2501	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Mar., 2000"	"2000/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2402	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Apr., 2000"	"2000/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2064	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"May, 2000"	"2000/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2056	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jun., 2000"	"2000/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1891	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Jul., 2000"	"2000/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1846	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Aug., 2000"	"2000/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1810	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Sep., 2000"	"2000/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1828	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Oct., 2000"	"2000/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1922	Not Applicable	Not Applicable
