CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),UN_P05 ('000),UN_P10 ('000),UN_P15 ('000),Diff90,Diff95,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Internal Spatial Notes,Internal Population Notes,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source,,,,,,,
Cambodia,KHM,Asia,4,107,10705,South-eastern Asia,KH,116,11,8,179492,3,Province,District,Commune,Village,,1604,1994,1998,"8,907","10,537","12,120"," 9,630 "," 11,393 "," 13,104 "," 14,800 "," 16,630 "," 18,585 ",7.51,7.51,7.51,"Cambodia Ministry of Land Management, Urban Planning and Construction, Department of Geography.","1998 Population Census of Cambodia provided by the Cambodia Ministry of Land Management, Urban Planning and Construction; Department of Geography.
Population data for 1994 provided by the Cambodia National Institute of Statistics and have been obtained in digital form from the UNSTAT/POPMAP Project",Boundary changes occured at the district level between 1994 and 1998.  The 1998 population data was thus aggregated and/or re-proportioned to match the 1994 boundaries.  For a complete description of these changes.,"Many of the 1994 district (administrative level 2) units were split into multiple units by 1998.  Additionally, the boundary divisions between these units changed in some cases. We reaggregated the population of the 1998 units to match the 1994 boundaries as follows:
* Sampov Lun, Malai, and Ou Chrov (1998) were aggregated to match Serey Sophorn (1994).   
* Bavel, Phnum Proek, and Kamrieng (1998) were aggregated to match Bavel (1994).     
* Rotonak Mondol, Samlout, Khad Pailin, and Sala Kroa (1998) were aggregated to match Rattanak Mondul (1994).     
* Phnum Kravanh and Veal Veaeng (1998) were aggregated to match Kravanh (1994).     
* Kampong Trach, Damnak Chang'aeur, Kaeb, and Kampot (1998) were aggregated to match an aggregation of Kampong Trach and Kampot DC (1994).   
* Kiri Sakor, Kaoh Kong, and Mittakpheap (1998) were aggregated to match an aggregation of Kiri Sakor, Koh Kong DC, and Mittapheap (1994).   
* Pouk, and Siem Reap (1998) were aggregated to match an aggregation of Pouk and Siem Reap PT (1994).   
Population data were extrapolated to target years using a district (administrative level 2) population growth rate, between 1994–1998, that was applied to the 1998 commune (administrative level 3) data.  The 1994 population data were only available at administrative level 1 for Stung Treng, Takeo, and Mondul Kiri.  For the commune units (level 3) belonging to these areas, a distric (level 1) population growth rate was applied for the extrapolation.  A 5% growth rate cap was applied to select units.",,The 5% growth rate caps were applied where the calculated rates exceed 0.05.  ,27,"1,211,304","2,820","82,602.04","Municipalities of Phnom Penh, Bokor and Kep and 13 additional urban centres.",26,219,1,43.55,"1,132","1,050,322","1,015","74,614","1,939,968",0.64,15.2,17.5,11,21,5,0,"City Population, www.citypopulation.de","Columbia Gazetteer, Getty, NIMA, World Gazetteer",,,,,,,
Kiribati,KIR,Oceania,6,387,38705,Micronesia,KI,296,6,3,1073,2,Island Group,Island,,,,28,1990,2000,72,78,84, 72 , 77 , 83 , 89 , 94 , 100 ,-0.80,-0.50,-1.91,"The Island boundary data were obtained from the World Vector Shoreline, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","Census Population by Island: 1990, 1995, 2000 obtained from Statistics Office, Republic of Kiribati, http://www.spc.int/prism/Country/KI/Stats/census.htm .","Polygons for the small islands of Banaba and Kuria part of the Gilbert Islands were added to the shapefile based on the interactive map as shown on the The Times Atlas of the World, 10th Edition, published by Crown Publishers, NY. Because these islands were rendered in a generalized way, they are not considered to be acurately georeferenced.",,Removed Islands that overlapped with Wallis and Futuna (zero population values) -GY,Standard interpolation,17,"7,748","1,839","3,405.94",South Tarawa (capital city).,4,5,1,2.63,11,"5,294","1,296","2,533","10,133",1.00,11.3,38.6,1,12,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","Map, World Gazetteer",,,,,,,
Saint Kitts and Nevis,KNA,North America,2,662,66205,Caribbean,KN,659,12,19,277,1,Islands,,,,,2,,,42,40,38, 42 , 40 , 38 , 37 , 36 , 35 ,0.00,0.00,0.00,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,,Distributed United Nations population totals across two islands,4,"13,282","1,182","5,425.67",Basseterre and Charlestown.,2,149,89,118.83,238,"27,435","7,483","17,459","34,918",85.89,86.3,34.2,2,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer,,,,,,,
Korea,KOR,Asia,4,394,39405,Eastern Asia,KR,410,21,204,98977,3,Province,District,Ward/Township,,,227,1992,2002,"43,917","44,395","46,419"," 42,869 "," 44,952 "," 46,740 "," 48,298 "," 49,623 "," 50,631 ",-2.44,1.24,0.69,"National Atlas of Korea, http://210.117.198.3/website_e/ngiatlas/ngiatlas.html .","Population data were downloaded from the National Atlas of Korea 1992–2002, http://210.117.198.3/website_e/ngiatlas/ngiatlas.html .",,"Data are available for most of the South Korea administrative units between 1992–2002.  This interval was primarily used to calculate the growth rate and extrapolate to target years using 1995 and 2000 (census years) as base.  For the units of Kejang-gun, Sasang-gu, Suyoun-gu,Yonjae-gu, Nam-gu, Chang-won, MasanKyeyang-gu, Pupyong-gu, Yonsu-gu, Kangbuk-gu, Kumchon-gu, and Kwangjin-gu, data is only available between 1995–2002.  The growth rate of these units was calculated for the 1995–2002 interval, with 1995 and 2000 as base years.  For the units of Chung-gu, Nam-gu, Puk-gu, Tong-gu, and Ulju-gun data is only available between 1997–2002.  The growth rate of these units was calculated for the 1997–2002 interval with 2000 as base year.  ","Coastline matched to DCW. The original shapefile was not matched to DCW due to unknown projection. Therefore, a link file was created by selecting 8 pairs of control points on the original map and the DCW. Tiny islands and distinct features on the coastline were used as control points to improve accuracy. Spatial adjustment tools in ArcMap 8.3 were used for projective transformation from the original shapefile to the DCW shapefile.  -GY 4/04","The url for the pop data is very tempermental and often does not work.  This IS where we got the data though.  Sarah Cohen (student) most likely downloaded it.  We do not have her original sheets, but the figures are in an older KOR shapefile in the inputdata folder.  The beta data shapefile did not retain any of the original data or the growth rate. ",129,"9,895,972","21,374","291,637.15",Cities as administratively defined.,83,"5,739",0,264.64,"21,965","20,960,406","1,267","487,113","40,430,362",22.37,86.4,82.5,148,3,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","City Population, NIMA, UNSD, World Gazetteer",,,,,,,
Kuwait,KWT,Asia,4,398,39805,Western Asia,KW,414,59,445,17259,1,Governorate,,,,,5,1995,2001,"2,091","2,157","2,226"," 2,143 "," 1,691 "," 1,914 "," 2,175 "," 2,473 "," 2,766 ",2.44,-27.56,-16.30,"Spatial data received via collaborative input-data exchange with the LandScan Project, http://www.ornl.gov/gist/ .","Kuwait Annual Statistical Abstract 2001, http://www.mop.gov.kw/mopwebsite/statpdf2001/Chapter03.pdf .","According to the 2001 Annual Statistical Abstract, there are now a total of 6 govenorates (administrative level 1) in Kuwait.  The newest governorate, Mubarak Al-Kabeer, appears to have been added in 2000 and was split from Hawalli.  To create matched boundaries at two time periods, Hawalli and Mubarak Al-Kabeer governorates were aggregated and called Hawalli-incl.MubarakAl-Kabeer.  
The governorate called Al Kuwayt in the spatial data is called Capital in the population data.  ","The last census year was 1995. According to the 2001 Annual Statistical Abstract, ""for the years 1999–2001 the numbers have been derived by using estimates of different annual growth rates for both natural increase in population and numbers of naturalized citizens during 1995–1998.""  
The population figures of Hawalli and Mubarak Al-Kabeer governorates were aggregated and called Hawalli-incl.Mubarak Al-Kabeer to match the boundaries.",,,27,"171,391","12,523","46,203.93","Agglomerations of 10,000 inhabitants or more.",2,"3,942",20,"1,980.98","3,962","1,848,248","7,701","927,974","1,855,949",22.89,83.2,96.1,2,0,0,0,"Annual Statistical Abstract 1998 Kuwait, UN Statistical Library; City Population, www.citypopulation.de","NIMA, World Gazetteer",,,,,,,
Lao People's Democratic Republic,LAO,Asia,4,402,40205,South-eastern Asia,LA,418,42,39,230230,2,Province,District,,,,133,1995,2003,"4,142","4,581","5,235"," 4,132 "," 4,686 "," 5,279 "," 5,922 "," 6,611 "," 7,334 ",-0.23,2.24,0.82,UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .,"National Statistical Office of Laos Census of 1995, provided by the UNSTAT/POPMAP Project in digital form.  2003 province population data from the National Statistics Centre, Committee for Planning and Investment, average mid-year poulation by sex and population density in 2003: http://www.nsc.gov.la/YB_population&labour.htm",,"A province level (adm1) growth rate was calculated between the two data years of 1995 and 2003, then applied to the 1995 district population (adm2) data to extrapolate the population data to target years.","FROM GPW2 NOTES: The original database was produced by the National Statistical Office of Laos in collaboration with the UNSTAT/POPMAP Project The original data were compiled in POPMAP which so far does not support true georeferencing. Source map scale and projection were unknown. The data were first transformed into a standard projection (chosen as the one with the lowest error among several possible projections evaluated) and then projected into lat/long (ie, geographic) coordinates. Rubbersheeting was then performed on the resulting coverage to improve the match with the country and coastal outline from the Digital Chart of the World (DCW). The positional error resulting from this procedure is estimated (= guesstimated) to lie between 500m and 1km. Thus, the coverage is suitable for regional and continental scale applications as well as for visualization of spatial pattern using census data. It should not be used for high resolution applications at the subnational level.","In alpha and beta versions, used population data from GPW2 and projected population forward using UN rates; actual growth rate was not calculated until production -Mbrickman",17,"197,507","3,015","49,811.88","The five largest towns: Vientiane, Luang Prabang, Savannakhet, Kammouan and Pakse.",15,321,14,67.98,"1,020","194,081","11,730","49,981","749,721",0.44,13.4,19.7,13,10,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Lebanon,LBN,Asia,4,412,41205,Western Asia,LB,422,20,128,10328,2,Governorate,District,,,,26,,1996,"2,558","3,012","3,323"," 2,713 "," 3,169 "," 3,496 "," 3,779 "," 4,017 "," 4,219 ",5.73,4.95,4.95,"Database developed by the Lebanese Ministry of Social Affairs in cooperation with the United Nations Statistics Division's Software Development Project (1996 data), http://www.un.org/Depts/unsd/softproj/index.htm .","Database developed by the Lebanese Ministry of Social Affairs in cooperation with the United Nations Statistics Division's Software Development Project (1996 data), http://www.un.org/Depts/unsd/softproj/index.htm .",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",,,17,"1,136,268","10,329","120,322.41","Localities with 5,000 inhabitants or more.",13,905,37,177.87,"2,312","1,450,920","7,265","185,138","2,406,798",22.40,70.8,90.1,13,4,0,0,"World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Liberia,LBR,Africa,1,434,43405,Western Africa,LR,430,42,70,"96,166",2,County/Territory,District,,,,54,,1983,"2,778","3,238","3,775"," 2,144 "," 2,046 "," 2,913 "," 3,841 "," 4,682 "," 5,550 ",-29.58,-58.30,-29.58,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"The 1990 population figures are based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and were estimated by Benoit Ninnin, using this source: Republic of Liberia: Ministry of Planning and Economic Affairs, 1983, Census of Population and Housing: Summary Population Results: Monrovia 1987.",,Population data were extrapolated to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,No update done. Although an estimate of 1986 population at level 1 was found (see additional information)  there appear to have been some changes to the adminstrative units (Bong County/ Grand Bassa County/ Marshall Territory/Montserrado County) and also some significant differences in the population data from GPW2. It was concluded that our existing data at level 2 was more valuable - project population forward.,"ALPHA NOTES: Liberia census manual from Columbia University Library: 1984 Population and Housing Census of Liberia Summary Results (HA 4735 .N56 1987g) Ministry of Planning and Economic Affairs, Monrovia, Liberia 1987 (I don't think we used this though--MB); BETA NOTES: Note that the NSO 1990 estimate aligns with the UN 2000 pop estimate-- may want to check if there is something wrong here (Mel Aug 05); PROD NOTES: Projected from GPW2 using UN 10 yr interval rates. The P90E was used as base pop to produced P95E, and P95E used for P00E.  In the beta version, P95 was based on a 5yr UN interval, while the rets of the years was 10 yr UN interval.  For postbeta, P90 was reprojected using UN 10 yr interval to project to P95E and 95 used as base for P00E..",27,"848,181","1,929","51,738.42","Localities with 2,000 inhabitants or more.",17,80,3,25.59,435,"311,216","5,747","35,302","600,135",0.45,19.6,45.5,2,20,1,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, NIMA",,,,,,,
Libyan Arab Jamahiriya,LBY,Africa,1,438,43805,Northern Africa,LY,434,254,223,1611363,1,Mohafada,,,,,25,1973,1984,"4,545","5,035","5,577"," 4,311 "," 4,755 "," 5,290 "," 5,905 "," 6,531 "," 7,058 ",-5.43,-5.88,-5.43,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"Estimates of 1990 population were based on 1984-based census results reported in Europa (1992), Africa - South of the Sahara - 1993, 22nd edition, Europa Publications, London, and Government of Libya (1973), Population census preliminary results, Ministry of Planning Census and Statistical Department.","Boundaries were digitized from the CIA map ""Libya"" dated 5-93.  See: http://www.lib.utexas.edu/Libs/PCL/Map_collection/africa/Libya.GIF.  Projection information was included on the map, but the scale was not.  Due to the small cartographic scale of the map, however, the accuracy of the boundaries is very low.  While this may not be important in the uninhabited desert areas, it may lead to errors in the urbanized coastal regions-- particularly around Tripoli.",Population data were extrapolated to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,"ALPHA/BETA NOTES: This is GPW2 data: Note: According to the UN, in 1992, 13 regions divided into 1,500 communes may have replaced Libya’s 25 municipalities.  However, this has not been confirmed.","ALPHA/BETA NOTES: Extrapolated population from GPW2 using UN National Estimates for 1990, 1995, and 2000 for growth rates. P90E was used to produced the P95E with g.r calculated from UN pop estimates for 1990-1995. P95E was used to produced the P00E with g.r calculated from UN pop estimates for 1995-2000.   For P05E, P10E, P15E, and P20E projections, the UN Growth rates listed below (under the pink headings) were used.--MBrickman PROD: UN used again to project",39,"1,618,858","9,713","118,912.42",Municipalities (baladiyas).,33,"2,424",34,309.79,"10,223","1,415,816","8,890","119,047","3,928,558",0.63,74.0,88.0,33,2,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, NIMA, Times Atlas of the World, 1, World Gazetteer",,,,,,,
Saint Lucia,LCA,North America,2,663,66305,Caribbean,LC,662,25,148,620,0,,,,,,1,,,131,140,148, 131 , 140 , 148 , 156 , 163 , 169 ,0.00,0.00,0.00,Digital Chart of the World (DCW).,"""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are for estimates.",,Population data were extrapolated to target years using growth rates derived from United Nations national level estimates and projections.,,"No interpolation applied, used UN figures for population.",9,"54,680","1,128","8,234.22",Castries (capital city).,3,221,32,119.96,360,"66,586","9,152","33,658","100,974",58.07,65.4,38.0,3,1,0,0,"World Gazetteer, www.gazetteer.de",World Gazetteer,,,,,,,
Liechtenstein,LIE,Europe,5,442,44205,Western Europe,LI,438,4,3,160,1,Municipality,,,,,11,1990,2001,30,31,33, 29 , 31 , 33 , 34 , 36 , 37 ,-3.11,-2.32,-0.98,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Office of National Economy, Liechtenstein in Figures, http://www.liechtenstein.li/lisite/html/liechtenstein/index.jsp?treeId=ZALFAK_en_EN&topicId=0.3&sync=true .",,"National (administrative level 0) population growth rates, between 1990–1997 and 1997–2001, were applied to the 2001 municipality (administrative level 1) population units to project to target years. ",,For municipal level pop data is only available for 2001. National level pop data is available for 1990 and 1997- 2001,9,"5,471","1,184","3,520.44",Not available.,1,105,105,105.09,105,"30,873","30,873","30,873","30,873",65.65,94.0,21.5,1,0,0,0,"Statistical Yearbook of Liechtenstein 2003, www.llv.li","Times Atlas of the World, 1999, World Gazetteer",,,,,,,
Sri Lanka,LKA,Asia,4,729,72905,South-central Asia,LK,144,16,75,65830,3,Province,District,,,,242,1981,2001,"14,424","16,135","18,159"," 17,022 "," 18,041 "," 18,924 "," 19,838 "," 20,699 "," 21,451 ",15.26,10.56,4.04,"Boundary data were provided by the International Water Management Institute: IWMI, http://www.iwmi.org .","Sri Lanka Census of Population and Housing 2001, http://www.statistics.gov.lk/population/index.htm .",,"District (administrative level 2) population data were missing for the following 9 provinces (administrative level 1): Ampara, Batticaloa, Colombo, Jaffna, Kilinochchi, Mannar, Mullaitivu, Trincomalee, Vavuniya.  Hybrid administrative level 1 and 2 boundaries were created to account for these areas.
A 1981–1991 province (administrative level 1) population growth rate was used to extrapolate population data to the target years of 1990, 1995, and 2000.","ALPHA/BETA: IWMI (contact: Hugh Turral, PO BOX 2075, Colombo, Sri Lanka, Off Tel  94-1-787404, Mob     0777 135593, www.iwmi.org, h.turral@cgiar.org) Sent via Glenn Hyman of CIAT 
The units used as hybrids all have adminid's ending in 00 (e.g., 14402800). PROD: Removed external name: Boundary data were provided by Hugh Turral (MB)",,55,"639,321","9,465","59,101.09","Municipalities, urban councils and towns.",47,"1,471",2,85.99,"4,042","3,589,126","2,398","128,156","6,023,319",6.20,30.3,23.1,58,10,6,0,"Sri Lanka 2001 Census, www.statistics.gov.lk/census2001/population/distr; Sri Lanka, 1999 Statistical Abstract, Columbia University Libraries?;World Gazetteer, www.gazetteer.de","Map, NIMA, World Gazetteer",,,,,,,
Lesotho,LSO,Africa,1,424,42405,Southern Africa,LS,426,55,209,30582,1,District,,,,,10,1986,1996,"1,687","1,814","2,090"," 1,682 "," 1,869 "," 2,035 "," 2,112 "," 2,127 "," 2,141 ",-0.28,2.95,-2.71,"Integrated Management, Analysis & Geographic Information Services (IMAGIS) and the and Lesotho Bureau of Statistics","(1) Lesotho 1996 census data downloaded from: www.acap.upenn.edu; (2) the Kingdom of Lesotho (1987), Population census 1986, Preliminary results, Bureau of Statistics, Maseru;  (3) Lesotho Demographic Survey 2001.",,"(1) A growth rate, calculated between 1986 and 1996, was used to extrapolate the data to 1990 and 1995 (2) A growth rate, calculated between 1996 and 2001, was used to extrapolate the data to additional target years.",Boundaries matched to DCW using bordermatch.aml.   Higher resolution (EA) boundaries provided by Chris Whyte of IMAGIS could not be matched.,"ALPHA/BETA: Growth rate was calculated between 1986 and 1996 (1986 Sum from Shape File: 1,596,096; 1996 Sum from Shape File: 1,841,967).  The projection looks a little high compared to the UN, but this is because the UN figures show almost no growth between 2005-2020 PROD: Standard interpolation using to different rates.",15,"126,019","2,500","17,691.07",District headquarters and other settlements with rapid population growth and with facilities that tend to encourage people to engage in economic activities that are non-agricultural in nature.,10,189,2,59.56,596,"105,679","1,016","19,610","196,100",1.95,11.0,28.8,17,7,0,0,"1986 Lesotho Population Census Analysis Report Volume IV, UN Statistical Library","AFCities, NIMA, World Gazetteer",,,,,,,
Lithuania,LTU,Europe,5,444,44405,Northern Europe,LT,440,36,69,64995,2,Province,District,,,,51,1989,2001,"3,675","3,601","3,533"," 3,722 "," 3,715 "," 3,696 "," 3,653 "," 3,594 "," 3,538 ",1.28,3.05,4.41,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2001 population from Statistics Lithuania, url: http://www.std.lt/web/main.php ; 1989 population from UNEP/GRID Arendal, http://www.grida.no/",,"Population growth rate between 1989 and 2001 was used to extrapolate to target years.
Recent boundary divisions were accomodated in the following attribution of population: 
(1) In the province of marijampole, the following districts are merged and assigned a single total population value - Sakiai, Kalvarijos, Kazlu Ruda, Marijampole, and Vilkaviskis.
(2) The population of Pagegiai in province of Taurage added to Silute in province of Klaipeda.  
(3) In Telsiai, population of Rietavas addded to Plunge.  
(4) In Utena, the districts of Ignalinos and Visaginas are merged and assigned a single total population value.  
(5) Trakai in Vilnius and Kaisiadorys in Kaunas are merged and population value assigned is the total of the two merged districts plus population of Elektrenai (in Vilnius).",,ALPHA/BETA NOTES; Growth rate caluclated between 1995 (GPW2) and 2001.,98,"545,078","1,029","25,654.73","Cities and urban-type localities, officially designated as such, according to criteria based on the number of inhabitants and the pre_dominance of non-agricultural workers and their families.",46,665,13,100.63,"4,629","511,936","5,026","46,775","2,151,627",7.18,61.5,68.6,63,20,0,0,"Lithuania Population and Housing Census 2001, Statistics Lithuania, http://www.std.lt/web/main.php?parent=755&module=7","NIMA, UNSD, World Gazetteer",,,,,,,
Luxembourg,LUX,Europe,5,446,44605,Western Europe,LU,442,5,4,2587,2,Commune,Localite,,,,118,1991,2001,382,397,436, 382 , 410 , 437 , 464 , 490 , 518 ,0.03,3.19,0.13,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Central Service for Statistics and Economic Studies (STATEC), Luxemburg, http://statec.gouvernement.lu/html_fr/RP_2001/rp01_commune_localite.html .",,Population was extrapolated to target years using a growth rate calculated between the census years of 1991 and 2001.,,ALPHA/BETA: A population growth rate was calculated between 1995 and 2001. The 1995 population is an estimate based on 1991 to 1998 figures provided by the (STATEC); PROD: Population growth rate was calculated using original pop values--between census years 1991 and 2001. ,82,"76,602","1,000","3,989.80","Communes having more than 2,000 inhabitants in the administrative center.",3,670,25,269.37,808,"299,013","6,561","111,226","333,679",31.24,76.7,91.9,8,5,0,0,"Population Census 2001, Le Service central de la statistique et des Etudes Economiques, www.statec.lu/html_fr/RP_2001/resultats.html",World Gazetteer,,,,,,,
Latvia,LVA,Europe,5,407,40705,Northern Europe,LV,428,10,4,64196,2,Rajons,Rajona piseta,,,,585,1990,2000,"2,639","2,506","2,381"," 2,671 "," 2,516 "," 2,421 "," 2,353 "," 2,288 "," 2,225 ",1.17,0.38,1.63,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Central Statistics Bureau of Latvia,  ""Results of the 2000 Population and Housing Census in Latvia.""",,"Rajon (administrative level 1) population growth rates, between census years 1989 and 2000, were applied to 2000 Rajona piseta (administrative level 2) population data to extrapolate to target years. ",,"BETA NOTE: Rajon (administrative level 1) population growth rates, between census years 1989 and 2000, were applied to 2000 Rajona piseta (administrative level 2) population data to extrapolate to target years; PROD NOTES: The 1989 and 1993 population from GPW2 at level1.  I used rate between 1989 and 2000 as these are census years. I believe that the 1989 data is a census data as the total pop matches the 1989 census pop total as reported by the cenus office (see pdf file censuses_9Aug04).  The 1993 data looks like an estimate based on the 1989 census. Lisa 9Aug 2004",76,"764,329","1,207","21,661.58","Cities and urban-type localities, officially designated as such, usually according to criteria based on the number of inhabitants and pre_dominance of non-agricultural workers and their families.",35,"1,098",23,93.94,"3,288","939,572","5,178","49,338","1,726,840",5.18,72.8,59.8,56,9,0,0,"City Population, www.citypopulation.de; Statistical Yearbook of Latvia 2002, UN Statistical Library, hard copy",NIMA,,,,,,,
Macao,MAC,Asia,4,450,45005,Eastern Asia,MO,446,3,142,19,1,Peninsula/Island,,,,,3,,2001,349,386,427, 372 , 416 , 444 , 464 , 481 , 499 ,6.33,7.40,4.00,Digital Chart of the World (DCW).,"2001 and 1991 population figures were provided by The Statistics and Census Service (DSEC), http://www.dsec.gov.mo/e_index.asp?src=/english/pub/e_cen_pub.html .",,"The Maritime Area population was redistributed equally among the other three administrative units (632.66667 people to each unit in 2001; 943.66667people to each unit in 1991).  All three have coastal areas. 
National level population growth rates (administrative level 0) were applied to the peninsula/island (administrative level 1) units for extrapolation to the target years of 1990, 1995, and 2000.",,"Added in 1991 pop data to create growth rates.
National growth rates were used for the projections because the island of Taipa's population changed drastically during the interval-- from 7,200 to 42,000.  It is believed that this growth is due to some sort of migration factor and would not be sustained in the future.-Mbrickman",1,"415,958","415,958","415,958.00","Macao City, including area maritima. Note: On 30 December 1999, Macao became a Special Administrative Region of China.",3,9,2,5.41,16,"335,884","3,101","121,988","365,963",85.02,82.5,98.9,3,0,0,0,"Population Census.  III Housing Census.  Estimates, UN Statistical Library",Getty,,,,,,,
Morocco (includes Western Sahara),MAR,Africa,1,510,51005,Northern Africa,MA,504,107,508,669159,2,Province,Prefecture,,,,58,1994,2004,"24,754","26,422","29,473"," 24,624 "," 27,213 "," 29,878 "," 32,663 "," 35,324 "," 37,680 ",-0.53,2.91,1.36,The World Bank,"1994 and 2004 census population from:  Recensement Général de la Population et de l'Habitat, 2004.  Résultats d'exploitation des cahiers de la population légale dans le Cadre du RGPH 2004 - Population légale par provinces et préfecture: http://www.recensement.hcp.ma/article.php3?id_article=332","To match the spatial and population data, the following units were merged:
(1) Casablanca Anfa, Ain Chock-Hay Hassani, Ain Sebaa-Hay Mohammadi, Al Fida-Derb Sultan, Ben M'Sick-Mediouna, Moulay Rachid-Sidi Othmane, and Sidi Bernoussi-Zenata 
(2) Fes  Jdid-Dar Dbibagh, Fes-Medina, and Zouagha-My Yacoub
(3) Marrakech-Menara, Sidi Youssef Ben Ali, and Marrakech-Medina.
(4) Meknes-El Menzeh and Al Ismailia.
(5) Sale-Al Jadida and Sale Medina
The spatial data were in an unknown map projection, they were transformed (rubbersheeting method) to match 1994 boundaries. The result is only approximate as the transformation introduces error on the order of 10 km.","To match the population data with the spatial data, the following units were aggregated:
(1) Casablanca, Mdiouna and Nouaceur
(2) Fes and Moulay Yacoub
A 5% growth rate cap was applied to select units.",ALPHA/BETA: This is GPW2 data;   PROD: If we can get a better projection definition we may be able to project the shapefile rather than storing it. See the 'projection' folder for details on the map projection. -GY;   Coastline and border were replaced with GPW betadata coastline and border (extend and clip method). -GY,"ALPHA/BETA: 1990 population estimates are based on census figures and estimates for 1982 to 1990 available from a digital file produced by the National Statistical Office (from the Republique du Maroc, Recensement General de la Population), obtained through the UN Statistics Division's Software Development Project. Censuses were undertaken in 1982 and 1994;   Sidi Bernoussi-Zenata (geog code 5 in Centre) appears to be the same unit as Mohammedia-Znata. As there is no data available for Al Fida/Derb Sul, this was aggregated with Casablanca.;  Population data were projected from GPW2 using UN National Estimates to compute growth rates.  PROD: Standard interpolation. Calculated the intercenssal g.r. 1994-2004 using pop provided by the Moroccan censes office from their website. Four prefecture have rates greater than 5%. Three of these are part of the Western Sahara, in particular Aousserd, the southernmost prefecture of Western Sahara has 21% growth rate.  The 5% rate cap applied to these four units when projecting to 1990, 2005-2020.  1994 census total: 26073717; 2004 census total: 29891708  intercensal national g.r. =.013665",78,"2,640,323","11,287","143,391.16",Urban centres.,85,"1,776",3,144.41,"12,275","5,292,392","4,079","156,557","13,307,337",1.82,45.1,56.1,171,1,0,0,"1982 Census Morocco, UN Statistical Library; City Population, http://www.citypopulation.de;World Gazetteer, www.gazetteer.de","NIMA, Times Atlas of the World, 1, UNSD, World Gazetteer",,,,,,,
